auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold
0.864,0.6821146245059287,0.2210545124954722,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Elastic-Net Logistic,5,1
0.804,0.527536231884058,0.1732973399209736,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,5,1
0.84,0.5783982683982684,0.1773599237203598,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,5,1
0.8160000000000001,0.543953823953824,0.17013976784750817,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Random Forest,5,1
0.724,0.5640118868060044,0.21444786880805328,0.6857142857142857,0.63,0.47619047619047616,0.25301215685249495,0.5,0.76,0.45454545454545453,0.7916666666666666,Logistic Regression (L2),5,1
0.7600000000000001,0.5885647195941314,0.17916839356788916,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),5,1
0.7145833333333333,0.5477912900939217,0.22868489383138832,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Elastic-Net Logistic,5,2
0.7145833333333333,0.42782807062218825,0.19287666466334197,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,5,2
0.6583333333333333,0.4472609636740071,0.19771349430084229,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,XGBoost,5,2
0.6583333333333333,0.41713655219553586,0.20495695387345267,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Random Forest,5,2
0.7208333333333333,0.6478461634983375,0.2385512133306318,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),5,2
0.5166666666666666,0.4100457140898317,0.2110950842056759,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),5,2
0.8729166666666667,0.7480952380952381,0.22303033754824358,0.7941176470588235,0.825,0.72,0.5964809080634605,0.9,0.75,0.6,0.9473684210526315,Elastic-Net Logistic,5,3
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,5,3
0.7375,0.6103356632459016,0.17413489520549774,0.7352941176470589,0.6083333333333333,0.4,0.27874925905782666,0.3,0.9166666666666666,0.6,0.7586206896551724,XGBoost,5,3
0.775,0.5871578421578422,0.1775096751337688,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,5,3
0.8666666666666667,0.6435225885225886,0.20909916683761848,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Logistic Regression (L2),5,3
0.20833333333333331,0.20712328636542632,0.21647817175108128,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),5,3
0.9062499999999999,0.8642917267917267,0.22757673832552824,0.6470588235294118,0.7208333333333333,0.6,0.4089038773995436,0.9,0.5416666666666666,0.45,0.9285714285714286,Elastic-Net Logistic,5,4
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,5,4
0.7333333333333333,0.5651176792556103,0.18247221410274506,0.7058823529411765,0.5291666666666667,0.16666666666666666,0.11296201426438299,0.1,0.9583333333333334,0.5,0.71875,XGBoost,5,4
0.65,0.3844972239089886,0.21017299494330388,0.5882352941176471,0.5041666666666667,0.3,0.008333333333333333,0.3,0.7083333333333334,0.3,0.7083333333333334,Random Forest,5,4
0.5833333333333333,0.4001869507771211,0.3725088179751746,0.5588235294117647,0.6,0.4827586206896552,0.1835325870964494,0.7,0.5,0.3684210526315789,0.8,Logistic Regression (L2),5,4
0.32499999999999996,0.26457322194534294,0.21402035420285623,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),5,4
0.7354166666666666,0.5145761002282742,0.22709581868494905,0.7941176470588235,0.7083333333333333,0.5882352941176471,0.4695301415158425,0.5,0.9166666666666666,0.7142857142857143,0.8148148148148148,Elastic-Net Logistic,5,5
0.75,0.5196602119108513,0.17866397893102245,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,5,5
0.625,0.4213347763347764,0.2251671403646469,0.5882352941176471,0.5625,0.4166666666666667,0.11572751247156894,0.5,0.625,0.35714285714285715,0.75,XGBoost,5,5
0.6041666666666666,0.3932562466772993,0.21330109929292382,0.6470588235294118,0.4875,0.14285714285714285,-0.035355339059327376,0.1,0.875,0.25,0.7,Random Forest,5,5
0.6083333333333334,0.3785447632003359,0.23258940004428058,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Logistic Regression (L2),5,5
0.5708333333333333,0.43264208681191596,0.21038703195465586,0.7058823529411765,0.5291666666666667,0.16666666666666666,0.11296201426438299,0.1,0.9583333333333334,0.5,0.71875,SVM (RBF),5,5
