model,imputation,fold,best_inner_auc,best_params
Elastic-Net Logistic,3,2,0.8265,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,3,2,0.6919,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,3,2,0.7552,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),3,2,0.703,"{""model__C"": ""0.1"", ""model__gamma"": ""0.03""}"
AdaBoost,3,2,0.7671,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,3,2,0.7113,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,3,2,0.7134,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""0.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),3,3,0.6702,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,3,3,0.7874,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,3,3,0.7125,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""10"", ""model__min_samples_leaf"": ""2"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""3""}"
Extra Trees,3,3,0.7012,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),3,3,0.6657,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,3,3,0.7639,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,3,3,0.7063,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.03"", ""model__colsample_bytree"": ""1.0""}"
LightGBM,3,3,0.7052,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),3,4,0.6354,"{""model__C"": ""10""}"
Elastic-Net Logistic,3,4,0.7893,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,3,4,0.726,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,3,4,0.7045,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
SVM (RBF),3,4,0.5964,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,3,4,0.7355,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,3,4,0.7423,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,3,4,0.7363,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""15"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),3,5,0.6709,"{""model__C"": ""0.05""}"
Elastic-Net Logistic,3,5,0.8187,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,3,5,0.6706,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
