auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold,n_test,fit_seconds
0.7020833333333334,0.5389298818942782,0.2294383330606812,0.6470588235294118,0.6041666666666667,0.45454545454545453,0.19863803942616506,0.5,0.7083333333333334,0.4166666666666667,0.7727272727272727,Elastic-Net Logistic,2,2,34,8.19
0.6625,0.4346088706615022,0.20730251541996253,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Random Forest,2,2,34,19.29
0.7041666666666667,0.5199364086206192,0.2051020617895505,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,Extra Trees,2,2,34,16.11
0.5208333333333334,0.4120879311320488,0.21103912445124623,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,2,34,24.85
0.7104166666666667,0.42782807062218825,0.18824820930862615,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,2,2,34,16.09
0.6625,0.4484103889613634,0.19771893322467804,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,XGBoost,2,2,34,10.91
0.6499999999999999,0.46998352905675567,0.23358244751437857,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,LightGBM,2,2,34,10.43
0.8708333333333333,0.660839710684912,0.20841259075634827,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Logistic Regression (L2),2,3,34,6.65
0.8708333333333332,0.7370432263814616,0.17947612392892204,0.7647058823529411,0.8041666666666667,0.6923076923076923,0.5553298152482934,0.9,0.7083333333333334,0.5625,0.9444444444444444,Elastic-Net Logistic,2,3,34,7.4
0.8125,0.6569264069264069,0.17308773633437602,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,2,3,34,17.61
0.8541666666666667,0.6633458646616541,0.1646222734944971,0.7647058823529411,0.7458333333333333,0.6363636363636364,0.46878577304574953,0.7,0.7916666666666666,0.5833333333333334,0.8636363636363636,Extra Trees,2,3,34,15.77
0.20833333333333331,0.2071721622207538,0.21660853130689428,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,3,34,25.88
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,2,3,34,15.78
0.7291666666666666,0.5923940886227413,0.17168177664279938,0.7058823529411765,0.5583333333333333,0.2857142857142857,0.1649915822768611,0.2,0.9166666666666666,0.5,0.7333333333333333,XGBoost,2,3,34,11.04
0.6791666666666667,0.5154043252069568,0.20750956080828278,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,LightGBM,2,3,34,11.51
0.5916666666666668,0.43868932289648405,0.33920093366375315,0.5882352941176471,0.6208333333333333,0.5,0.2206104745506919,0.7,0.5416666666666666,0.3888888888888889,0.8125,Logistic Regression (L2),2,4,34,6.76
0.8729166666666668,0.8683716475095785,0.22742240289960683,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Elastic-Net Logistic,2,4,34,7.4
0.7333333333333334,0.5363046757164405,0.20564244057577402,0.6176470588235294,0.6416666666666666,0.5185185185185185,0.2581988897471611,0.7,0.5833333333333334,0.4117647058823529,0.8235294117647058,Random Forest,2,4,34,18.0
0.6583333333333333,0.47888199614006066,0.21497121781837594,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Extra Trees,2,4,34,15.21
0.325,0.2649303648024858,0.21404806176336022,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,4,34,23.64
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,2,4,34,14.21
0.7499999999999999,0.6221794871794871,0.17895345389842987,0.7647058823529411,0.6,0.3333333333333333,0.3872983346207417,0.2,1.0,1.0,0.75,XGBoost,2,4,34,11.33
0.6583333333333334,0.390964962193615,0.22005279131930391,0.6470588235294118,0.6041666666666667,0.45454545454545453,0.19863803942616506,0.5,0.7083333333333334,0.4166666666666667,0.7727272727272727,LightGBM,2,4,34,10.39
